record_id,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,intervention_specific_clean,date_of_update,status,status_simp,subpopulation,required,enforcement,size,duration,testing_population,source_url,entry_quality,details,required_new,intervention_f
19,2020-03-29T14:32:27Z,Yes,MWI,Malawi,NA,NA,NA,Symptom screening when entering by air,2020-01-31,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/1quqfpvkfc1yx5y/19_symp_screening.zip?dl=1'>link</a>,Verified,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05% Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers (one by one) to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi (Ensure Traveller Health Declaration Form attached below is adequately filled).	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",required,Symptom screening when entering by air
19,2020-03-29T14:32:27Z,Yes,MWI,Malawi,NA,NA,NA,Symptom screening when entering by land,2020-01-31,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/1quqfpvkfc1yx5y/19_symp_screening.zip?dl=1'>link</a>,Verified,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05% Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers (one by one) to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi (Ensure Traveller Health Declaration Form attached below is adequately filled).	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",required,Symptom screening when entering by land
20,2020-03-29T14:42:32Z,Yes,MWI,Malawi,NA,NA,NA,Testing of symptomatic individuals,2020-03-19,all,Strongly Implemented,NA,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/ndcqyucqxfp7u2w/20_testing_symp.doc?dl=1'>link</a>,Verified,"All suspected cases supposed to be tested, including those identified at the border.SUSPECT CASEA.	Patients with acute respiratory illness (FEVER and at least one sign/symptom of respiratory disease (e.g. cough, difficulties in breathing)), AND with no other etiology that fully explains the clinical presentation1 AND at least one of the following	a history of travel to or residence in a country, area or territory reporting local transmission of COVID19 during the 14 days prior to symptom onset, or	is a health care worker or any person who has been working in an environment where COVID19 cases are being managed.B.	A patient with any acute respiratory illness AND having been in contact2 with a confirmed or probable COVID19 case in the last 14 days prior to onset of symptoms;ORC.	A patient with severe acute respiratory infection (fever and at least one sign/symptom of respiratory disease (e.g., cough, shortness breath) AND requiring hospitalization AND with no other etiology that fully explains the clinical presentation.Note these recs were made 31Jan but no testing was in place until 19March.",required,Testing of symptomatic individuals
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Limiting movement within borders,2020-01-31,partially restricted,Partially Implemented,other subpopulation,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/krrzdegd3flro6s/22_limited_mvt.zip?dl=1'>link</a>,Verified,"Travelers at high risk for exposure are quarantined. Limit entry to necessary persons and family/friends. Restrict movement and exposure of highrisk individuals. Restrict entry for individuals with potential COVID19 exposure, confirmed cases status, or who has recently traveled internationally. Staff should take care to protect themselves.",required,Limiting movement within borders
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Household confinement,2020-03-16,partially restricted,Partially Implemented,other subpopulation,recommended,No,NA,NA,NA,<a href='https://www.dropbox.com/s/d95dvpzoe0kgusx/22_household_confined.pdf?dl=1'>link</a>,Verified,Older adults and others with elevated risk or chronic diseases recommended to remain at home,recommended,Household confinement
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Office closures,2020-03-19,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/a0vn40l04v9qo29/22_office_closed.pdf?dl=1'>link</a>,Verified,All nonessential businesses must close.,required,Office closures
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,"Leisure, entertainment, and religious venue closures",2020-03-13,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/yxg4m0vpsi961mg/22_entertainment_closed.pdf?dl=1'>link</a>,Verified,"Guidelines from CDPH for limiting customers, increasing social distancing, increasing cleaning, and eliminating events for vulnerable individuals for gambling, theme parks and attractions, and theaters.",recommended,"Leisure, entertainment, and religious venue closures"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Retail store closures (excluding essentials),2020-03-19,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/tbax4svotmnx13q/22_store_closed.pdf?dl=1'>link</a>,Verified,All nonessential businesses must close.,required,Retail store closures (excluding essentials)
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-17,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/l46v3kve3hn0kfx/22_public_space_closed.pdf?dl=1'>link</a>,Verified,All campgrounds closed.,required,Public space closures
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Limiting size of gatherings,2020-03-11,required,Strongly Implemented,entire population,required,NA,250,NA,NA,<a href='https://www.dropbox.com/s/6fmsk2fgwv3zihz/22_social_group_limits.zip?dl=1'>link</a>,Verified,"The states public health experts have determined that gatherings should be postponed or canceled across the state until at least the end of March. Nonessential gatherings must be limited to no more than 250 people, while smaller events can proceed only if the organizers can implement social distancing of 6 feet per person. Gatherings of individuals who are at higher risk for severe illness from COVID19 should be limited to no more than 10 people, while also following social distancing guidelines.",required,Limiting size of gatherings
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Contact tracing,2020-02-26,partial contact tracing,Partially Implemented,NA,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/or70i6fty0hf3tc/22_contact_tracing.zip?dl=1'>link</a>,Verified,Contact tracing initiated after first community spread of disease. From news article Contacts being monitored. Testing for healthcare workers who came in contact with case and quarantine.,required,Contact tracing
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Testing of symptomatic individuals,2020-01-31,some,Partially Implemented,NA,NA,NA,NA,NA,symptom severity;travel history;other,<a href='https://www.dropbox.com/s/5cz6k9l1tsxksi9/22_testing_symp.zip?dl=1'>link</a>,Verified,Testing recommended for travelers at high risk for exposure but doctors allowed to make exceptions. First community spread case tested after multiple days of refused testing because she had not traveled to affected areas.,required,Testing of symptomatic individuals
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Testing of asymptomatic individuals,2020-01-31,some,Partially Implemented,NA,NA,NA,NA,NA,travel history,<a href='https://www.dropbox.com/s/lvwkx1gyw4whuzv/22_testing_asymp.zip?dl=1'>link</a>,Verified,All individuals traveling from affected areas have been tested for virus.,required,Testing of asymptomatic individuals
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,State of emergency,2020-03-04,yes,Strongly Implemented,NA,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/uqbbb3pgt5xz5pb/22_state_of_emergency.pdf?dl=1'>link</a>,Verified,NA,required,State of emergency
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Restaurant closures (excluding takeout/delivery),2020-03-16,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/l97jc9qkt3t3ijk/22_restaurant_closed.pdf?dl=1'>link</a>,Verified,"Retail beverage places and food service places should close except for delivery and takeout. Does not apply to food trucks, grocery stores, farmers markets, and charitable food distribution sites. Guidance is provided for the latter businesses.",required,Restaurant closures (excluding takeout/delivery)
23,2020-03-29T15:28:17Z,Yes,USA,United States of America,NA,NA,NA,Symptom screening when entering by air,2020-01-17,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/u2egd1gow2hy2yz/23_symp_screening.zip?dl=1'>link</a>,Verified,"Screening travelers from Wuhan, China at SFO, LAX, and JFK",required,Symptom screening when entering by air
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Household confinement,2020-03-19,fully restricted,Strongly Implemented,entire population,required,No,NA,NA,NA,<a href='https://www.dropbox.com/s/krhkdqks4on4dlb/24_household_confined.pdf?dl=1'>link</a>,Verified,All Californians are ordered to stay home except for necessary activities.,required,Household confinement
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,"Leisure, entertainment, and religious venue closures",2020-03-16,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/uhctov29v7mon8n/24_entertainment_closed.pdf?dl=1'>link</a>,Verified,"Gyms, health clubs, and theaters should be closed.",required,"Leisure, entertainment, and religious venue closures"
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-24,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/ezwenjct1ntreyw/24_public_space_closed.pdf?dl=1'>link</a>,Verified,Restricting vehicular traffic to some state parks.,required,Public space closures
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Limiting size of gatherings,2020-03-16,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/iqhowuzsoh88i7k/24_social_group_limits.pdf?dl=1'>link</a>,Verified,All gatherings should be postponed or cancelled. No limit on the number of people in a gathering.,required,Limiting size of gatherings
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Testing of symptomatic individuals,2020-03-05,some,Partially Implemented,NA,NA,NA,NA,NA,symptom severity;hospitalization;travel history;contact with case;other potential exposure,<a href='https://www.dropbox.com/s/xhg78958fqrcr0e/24_testing_symp.pdf?dl=1'>link</a>,Verified,"If you are experiencing symptoms of COVID19 and may have had contact with a person with COVID19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care. Free medically necessary testing made available to Californians.",required,Testing of symptomatic individuals
25,2020-03-29T15:38:08Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-26,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/65l0uzk64nmy4fq/25_public_space_closed.zip?dl=1'>link</a>,Verified,Additional restriction of vehicular traffic to more state parks. High public use indoor facilities ordered closed. All events in state parks have been canceled.,required,Public space closures
26,2020-03-29T15:57:22Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by air,2020-01-21,recommended,Partially Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/883g2nb532coazs/26_symp_screening.pdf?dl=1'>link</a>,Unverified,"In coordination with the Public Health Agency of Canada, our public health teams are responding by closely monitoring the situation and have implemented screening for early detection of infections for individuals arriving in airports. Quarantine officers are available at Vancouver International Airport to coordinate any response required, and Richmond Hospital infection control practitioners are ready to respond to any potential scenario where a patient may require further investigation.",recommended,Symptom screening when entering by air
27,2020-03-29T16:34:58Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Contact tracing,2020-01-28,partial contact tracing,Partially Implemented,NA,NA,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/zsjxo2kyrr9lorp/27_contact_tracing.pdf?dl=1'>link</a>,Unverified,"Following 1st case in the province, Public health officials are in regular contact with the individual and a small number of close contacts. He is in isolation at home.",required,Contact tracing
28,2020-03-29T16:48:31Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Testing of asymptomatic individuals,2020-02-03,some,Partially Implemented,NA,NA,NA,NA,NA,travel history;other,<a href='https://www.dropbox.com/s/ss6wocd0aongetl/28_testing_asymp.pdf?dl=1'>link</a>,Unverified,"Individuals repatriated from Hubei province, China are tested and quarantine at the Trenton military base for 14 days  testing in the provincial population (unknown criteria / availability) In B.C., we have chosen testing criteria with an intentionally low threshold to purposely ensure a wide range of people are eligible for novel coronavirus testing.",required,Testing of asymptomatic individuals
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Primary school closures,2020-03-18,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/99tojm9iohf0m8t/31_school_closed.zip?dl=1'>link</a>,Verified,NA,recommended,Primary school closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Secondary school closures,2020-03-18,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/99tojm9iohf0m8t/31_school_closed.zip?dl=1'>link</a>,Verified,NA,recommended,Secondary school closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Post-secondary school closures,2020-03-14,closed,Strongly Implemented,other subpopulation,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/99tojm9iohf0m8t/31_school_closed.zip?dl=1'>link</a>,Verified,"Actual date is March 19, but because of spring break the effective date is March 14.",recommended,Post-secondary school closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Household confinement,2020-03-22,partially restricted,Partially Implemented,entire population,recommended,No,NA,NA,NA,<a href='https://www.dropbox.com/s/a19r9io7uxajj82/31_household_confined.pdf?dl=1'>link</a>,Verified,NA,recommended,Household confinement
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Office closures,2020-03-22,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,<a href='https://www.dropbox.com/s/ophbml2wl1n9rcn/31_office_closed.pdf?dl=1'>link</a>,Verified,NA,recommended,Office closures
