record_id,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,intervention_specific_clean,date_of_update,status,status_simp,subpopulation,required,enforcement,size,duration,testing_population,details,required_new,intervention_f
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Office closures,2020-03-26,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,"businesses and workplaces should encourage their employees to work at home, wherever possible. With the exception of some nonessential shops and public venues, we are not asking any other businesses to close  indeed it is important for business to carry on.",required,Office closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,"Leisure, entertainment, and religious venue closures",2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Exceptions for assembly and leisure (1) Small group performances for the purposes of live streaming could be permissible where Public Health England guidelines are observed and no audience attend the venue. (2) Any suitable assembly or leisure premises may open for blood donation sessions.Exception for places of worship (1) Funerals in places of worship and crematoria, where the congregation are members of the deceaseds household or close family. In a case where no members of the deceaseds household or family members are attending, friends can attend. A distance of two metres should be maintained between every household group, as per Public Health England guidelines. (2) For the purpose of hosting essential voluntary or public service, such as food banks, homeless services, and blood donation sessions.",required,"Leisure, entertainment, and religious venue closures"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Retail store closures (excluding essentials),2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Exceptions include Supermarkets and other food shops Medical services (such as dental surgeries, opticians and audiology clinics, physiotherapy clinics, chirpody and podiatry clinics, and other professional vocational medical services) Pharmacies and chemists, including nondispensing pharmacies Petrol stations Bicycle shops Hardware shops and equipment, plant and tool hire Veterinary surgeries and pet shops Agricultural supplies shops Corner shops and newsagents Offlicences and licenced shops selling alcohol, including those within breweries Laundrettes and dry cleaners Post offices Vehicle rental services Car garages and MOT services Car parks High street banks, building societies, shortterm loan providers, credit unions and cash points Storage and distribution facilities, including delivery drop off points where they are on the premises of any of the above businesses Public toilets Shopping centres may stay open but only units of the types listed above may trade",required,Retail store closures (excluding essentials)
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Public transportation closures,2020-03-23,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"From Monday 23 March, Network Rail will be running a reduced timetable to keep trains moving for essential workers and services. As of March 28, 2020, Arriva bus have had to reduce the frequency of some services.A reduced service is operating on all London Underground, London Overground, DLR, TfL Rail and London Trams.",recommended,Public transportation closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Public space closures,2020-03-23,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,"Outdoor markets closed except for market stalls which offer essential retail, such as grocery and food. Caravan parks closed unless people live permanently there. Libraries closed. Playgrounds, sports courts and pitches, and outdoor gyms or similar closed. National parks dont appear to be closed, but they strongly encourage people to stay home and not visit.",required,Public space closures
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Limiting size of gatherings,2020-03-23,required,Strongly Implemented,entire population,required,NA,2,NA,NA,Gatherings of more than two people have been banned in the UK to stop the spread of Covid19.,required,Limiting size of gatherings
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Restaurant closures (excluding takeout/delivery),2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Restaurants and public houses, wine bars or other food and drink establishments including within hotels and members clubs closed.Exceptions to cafes and canteens being closed (1) Caf'es and canteens at hospitals, police and fire service places of work, care homes or schools; prison and military canteens; services providing food or drink to the homeless. (2) Where there are no practical alternatives, other workplace canteens can remain open to provide food for their staff and/or provide a space for breaks. However, where possible, staff should be encouraged to bring their own food, and distributors should move to takeaway. Measures should be taken to minimise the number of people in the canteen / break space at any one given time, for example by using a rota.",required,Restaurant closures (excluding takeout/delivery)
11,2020-03-29T09:58:54Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-02-27,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"A prikaz of Department of Education and Science of Moscow City orders schools to implement morning filters, which means that at entry to school, students are screened, including a temperature check. During the day, their health is supposed to be monitored, although its not specified how. Children with elevated temperature of other symptoms are to be isolated before their caregivers can take them home, and their information should be shared with a health clinic.",required,Symptom screening at checkpoints within borders
12,2020-03-29T10:18:43Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-02,required,Strongly Implemented,random sample,required,NA,NA,NA,NA,Could have been implemented a little before this date; unclear exactly when. Screening of a sample of people at entrance to the metro in Moscow,required,Symptom screening at checkpoints within borders
13,2020-03-29T10:23:14Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-02,recommended,Partially Implemented,other subpopulation,recommended,NA,NA,NA,NA,Recommendation to employees to measure temperature of their employees,recommended,Symptom screening at checkpoints within borders
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Nursery school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.",recommended,Nursery school closures
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Primary school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.",recommended,Primary school closures
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Secondary school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.",recommended,Secondary school closures
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Limiting size of gatherings,2020-03-10,required,Strongly Implemented,entire population,required,NA,5000,NA,NA,Ban on mass gatherings and events of more than 5000 participants; anticipated to last until April 10 2020.,required,Limiting size of gatherings
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-05,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,"Employers are not required (not just recommended) to screen at workplace, including temperature. Employees with elevated temperature or other symptoms are to be sent home.",required,Symptom screening at checkpoints within borders
19,2020-03-29T14:32:27Z,Yes,MWI,Malawi,NA,NA,NA,Symptom screening when entering by air,2020-01-31,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05% Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers (one by one) to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi (Ensure Traveller Health Declaration Form attached below is adequately filled).	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",required,Symptom screening when entering by air
19,2020-03-29T14:32:27Z,Yes,MWI,Malawi,NA,NA,NA,Symptom screening when entering by land,2020-01-31,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05% Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers (one by one) to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi (Ensure Traveller Health Declaration Form attached below is adequately filled).	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",required,Symptom screening when entering by land
20,2020-03-29T14:42:32Z,Yes,MWI,Malawi,NA,NA,NA,Testing of symptomatic individuals,2020-03-19,all,Strongly Implemented,NA,NA,NA,NA,NA,NA,"All suspected cases supposed to be tested, including those identified at the border.SUSPECT CASEA.	Patients with acute respiratory illness (FEVER and at least one sign/symptom of respiratory disease (e.g. cough, difficulties in breathing)), AND with no other etiology that fully explains the clinical presentation1 AND at least one of the following	a history of travel to or residence in a country, area or territory reporting local transmission of COVID19 during the 14 days prior to symptom onset, or	is a health care worker or any person who has been working in an environment where COVID19 cases are being managed.B.	A patient with any acute respiratory illness AND having been in contact2 with a confirmed or probable COVID19 case in the last 14 days prior to onset of symptoms;ORC.	A patient with severe acute respiratory infection (fever and at least one sign/symptom of respiratory disease (e.g., cough, shortness breath) AND requiring hospitalization AND with no other etiology that fully explains the clinical presentation.Note these recs were made 31Jan but no testing was in place until 19March.",required,Testing of symptomatic individuals
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Primary school closures,2020-03-13,open,Not Implemented,entire population,recommended,NA,NA,NA,NA,Executive Order Governmental support provided to school districts who choose to close. Incentivizing but not recommending school closure.,recommended,Primary school closures
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Secondary school closures,2020-03-13,open,Not Implemented,entire population,recommended,NA,NA,NA,NA,Executive Order Governmental support provided to school districts who choose to close. Incentivizing but not recommending school closure.,recommended,Secondary school closures
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Limiting movement within borders,2020-01-31,partially restricted,Partially Implemented,other subpopulation,NA,NA,NA,NA,NA,"Travelers at high risk for exposure are quarantined. Limit entry to necessary persons and family/friends. Restrict movement and exposure of highrisk individuals. Restrict entry for individuals with potential COVID19 exposure, confirmed cases status, or who has recently traveled internationally. Staff should take care to protect themselves.",required,Limiting movement within borders
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Household confinement,2020-03-16,partially restricted,Partially Implemented,other subpopulation,recommended,No,NA,NA,NA,Older adults and others with elevated risk or chronic diseases recommended to remain at home,recommended,Household confinement
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Office closures,2020-03-19,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,All nonessential businesses must close.,required,Office closures
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,"Leisure, entertainment, and religious venue closures",2020-03-13,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Guidelines from CDPH for limiting customers, increasing social distancing, increasing cleaning, and eliminating events for vulnerable individuals for gambling, theme parks and attractions, and theaters.",recommended,"Leisure, entertainment, and religious venue closures"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Retail store closures (excluding essentials),2020-03-19,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,All nonessential businesses must close.,required,Retail store closures (excluding essentials)
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-17,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,All campgrounds closed.,required,Public space closures
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Limiting size of gatherings,2020-03-11,required,Strongly Implemented,entire population,required,NA,250,NA,NA,"The states public health experts have determined that gatherings should be postponed or canceled across the state until at least the end of March. Nonessential gatherings must be limited to no more than 250 people, while smaller events can proceed only if the organizers can implement social distancing of 6 feet per person. Gatherings of individuals who are at higher risk for severe illness from COVID19 should be limited to no more than 10 people, while also following social distancing guidelines.",required,Limiting size of gatherings
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Contact tracing,2020-02-26,partial contact tracing,Partially Implemented,NA,NA,NA,NA,NA,NA,Contact tracing initiated after first community spread of disease. From news article Contacts being monitored. Testing for healthcare workers who came in contact with case and quarantine.,required,Contact tracing
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Testing of symptomatic individuals,2020-01-31,some,Partially Implemented,NA,NA,NA,NA,NA,symptom severity;travel history;other,Testing recommended for travelers at high risk for exposure but doctors allowed to make exceptions. First community spread case tested after multiple days of refused testing because she had not traveled to affected areas.,required,Testing of symptomatic individuals
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Testing of asymptomatic individuals,2020-01-31,some,Partially Implemented,NA,NA,NA,NA,NA,travel history,All individuals traveling from affected areas have been tested for virus.,required,Testing of asymptomatic individuals
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Military and police deployment,2020-03-20,no,Not Implemented,NA,NA,NA,NA,NA,NA,National guard being deployed to help distribute food at food banks.,required,Military and police deployment
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,State of emergency,2020-03-04,yes,Strongly Implemented,NA,NA,NA,NA,NA,NA,NA,required,State of emergency
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Restaurant closures (excluding takeout/delivery),2020-03-16,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Retail beverage places and food service places should close except for delivery and takeout. Does not apply to food trucks, grocery stores, farmers markets, and charitable food distribution sites. Guidance is provided for the latter businesses.",required,Restaurant closures (excluding takeout/delivery)
23,2020-03-29T15:28:17Z,Yes,USA,United States of America,NA,NA,NA,Symptom screening when entering by air,2020-01-17,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"Screening travelers from Wuhan, China at SFO, LAX, and JFK",required,Symptom screening when entering by air
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Household confinement,2020-03-19,fully restricted,Strongly Implemented,entire population,required,No,NA,NA,NA,All Californians are ordered to stay home except for necessary activities.,required,Household confinement
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,"Leisure, entertainment, and religious venue closures",2020-03-16,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Gyms, health clubs, and theaters should be closed.",required,"Leisure, entertainment, and religious venue closures"
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-24,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,Restricting vehicular traffic to some state parks.,required,Public space closures
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Limiting size of gatherings,2020-03-16,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,All gatherings should be postponed or cancelled. No limit on the number of people in a gathering.,required,Limiting size of gatherings
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Testing of symptomatic individuals,2020-03-05,some,Partially Implemented,NA,NA,NA,NA,NA,symptom severity;hospitalization;travel history;contact with case;other potential exposure,"If you are experiencing symptoms of COVID19 and may have had contact with a person with COVID19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care. Free medically necessary testing made available to Californians.",required,Testing of symptomatic individuals
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Testing of asymptomatic individuals,2020-03-20,none,Not Implemented,NA,NA,NA,NA,NA,NA,Guidance against testing asymptomatic people.,required,Testing of asymptomatic individuals
25,2020-03-29T15:38:08Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-26,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,Additional restriction of vehicular traffic to more state parks. High public use indoor facilities ordered closed. All events in state parks have been canceled.,required,Public space closures
26,2020-03-29T15:57:22Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by air,2020-01-21,recommended,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"In coordination with the Public Health Agency of Canada, our public health teams are responding by closely monitoring the situation and have implemented screening for early detection of infections for individuals arriving in airports. Quarantine officers are available at Vancouver International Airport to coordinate any response required, and Richmond Hospital infection control practitioners are ready to respond to any potential scenario where a patient may require further investigation.",recommended,Symptom screening when entering by air
27,2020-03-29T16:34:58Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Contact tracing,2020-01-28,partial contact tracing,Partially Implemented,NA,NA,NA,NA,NA,NA,"Following 1st case in the province, Public health officials are in regular contact with the individual and a small number of close contacts. He is in isolation at home.",required,Contact tracing
28,2020-03-29T16:48:31Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Testing of asymptomatic individuals,2020-02-03,some,Partially Implemented,NA,NA,NA,NA,NA,travel history;other,"Individuals repatriated from Hubei province, China are tested and quarantine at the Trenton military base for 14 days  testing in the provincial population (unknown criteria / availability) In B.C., we have chosen testing criteria with an intentionally low threshold to purposely ensure a wide range of people are eligible for novel coronavirus testing.",required,Testing of asymptomatic individuals
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Primary school closures,2020-03-18,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,Primary school closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Secondary school closures,2020-03-18,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,Secondary school closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Post-secondary school closures,2020-03-14,closed,Strongly Implemented,other subpopulation,recommended,NA,NA,NA,NA,"Actual date is March 19, but because of spring break the effective date is March 14.",recommended,Post-secondary school closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Household confinement,2020-03-22,partially restricted,Partially Implemented,entire population,recommended,No,NA,NA,NA,NA,recommended,Household confinement
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Office closures,2020-03-22,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,Office closures
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,"Leisure, entertainment, and religious venue closures",2020-03-22,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,"Leisure, entertainment, and religious venue closures"
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Retail store closures (excluding essentials),2020-03-22,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,Retail store closures (excluding essentials)
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Limiting size of gatherings,2020-03-22,required,Strongly Implemented,entire population,required,NA,0,NA,NA,"No nonessential gatherings of individuals of any size for any reason (e.g. parties, celebrations or other social events) are canceled or postponed at this time;",required,Limiting size of gatherings
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Restaurant closures (excluding takeout/delivery),2020-03-22,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,Restaurant closures (excluding takeout/delivery)
32,2020-03-29T17:29:57Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by land,2020-03-02,recommended,Partially Implemented,entire population,recommended,NA,NA,NA,NA,Quarantine officers are always available to support the Canadian Border Services Agencys screening conducted at land entries and airports.,recommended,Symptom screening when entering by land
35,2020-03-29T17:40:47Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Household confinement,2020-03-03,fully restricted,Strongly Implemented,other subpopulation,required,No,NA,NA,NA,"Starting today, Canada Border Services Agency officers are taking contact information from all travellers arriving from Iran, requiring them to selfisolate for 14 days and to contact public health officials. This process is already in place for people arriving from Hubei, China.",required,Household confinement
35,2020-03-29T17:40:47Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by air,2020-03-03,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,Travelers showing signs will be referred to quarantine officer and screened.,required,Symptom screening when entering by air
35,2020-03-29T17:40:47Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by land,2020-03-03,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,Travelers showing signs will be referred to quarantine officer and screened.,required,Symptom screening when entering by land
36,2020-03-29T17:43:40Z,No,USA,United States of America,USA.33_1,New York,NA,Retail store closures (excluding essentials),2020-03-21,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"barbershops, hair salons, tattoo or piercing parlors, nail salons, hair removal services, and related personal care service",recommended,Retail store closures (excluding essentials)
37,2020-03-29T17:46:31Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Testing of symptomatic individuals,2020-03-05,all,Strongly Implemented,NA,NA,NA,NA,NA,NA,"We are continuing widespread testing by screening British Columbians and travellers with symptoms, along with their close contacts, to identify cases of COVID19 and take immediate action as we have seen today.",required,Testing of symptomatic individuals
38,2020-03-29T17:47:08Z,No,USA,United States of America,USA.33_1,New York,NA,Office closures,2020-03-19,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,reduce inoffice personnel by 75%,recommended,Office closures
39,2020-03-29T17:49:46Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Limiting size of gatherings,2020-03-07,recommended,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"There has been a notable transmission of COVID19 at events, such as religious gatherings. As a result, we recommend social distancing and forgoing usual greetings. As an alternative, we recommend considering virtual online gatherings.",recommended,Limiting size of gatherings
40,2020-03-29T17:54:32Z,No,USA,United States of America,USA.33_1,New York,New York City,Primary school closures,2020-03-15,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,NA,recommended,Primary school closures
40,2020-03-29T17:54:32Z,No,USA,United States of America,USA.33_1,New York,New York City,Secondary school closures,2020-03-15,closed,Strongly Implemented,entire population,recommended,NA,NA,NA,NA,Except for children of essential personnel who can attend learning centers.,recommended,Secondary school closures
41,2020-03-29T17:57:50Z,No,USA,United States of America,USA.33_1,New York,NA,Limiting size of gatherings,2020-03-12,required,Strongly Implemented,entire population,required,NA,500,NA,NA,NA,required,Limiting size of gatherings
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,Nursery school closures,2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,NA,required,Nursery school closures
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,Primary school closures,2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,NA,required,Primary school closures
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,Secondary school closures,2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,NA,required,Secondary school closures
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,Post-secondary school closures,2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,NA,required,Post-secondary school closures
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,Limiting size of gatherings,2020-03-20,required,Strongly Implemented,entire population,required,NA,100,NA,NA,"restricting public gatherings to less than 100 people forthwith. This restriction applies to all gatherings including weddings, funerals, church, congregations,rallies, government meetings etc; The national security apparatus has being ordered into action to enforce these restrictions.",required,Limiting size of gatherings
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,State of emergency,2020-03-20,yes,Strongly Implemented,NA,NA,NA,NA,NA,NA,National government declared a State of Disaster (even before any cases have been confirmed),required,State of emergency
43,2020-03-29T18:45:50Z,Yes,MWI,Malawi,NA,NA,NA,Border closures for entering by air,2020-03-20,partially closed,Partially Implemented,geographic subpopulation,NA,NA,NA,NA,NA,"Banned travel of foreign nationals from countries highly affected by coronavirus disease. However, SADC countries are exempted.  Returning residents and nationals from coronavirus affected countries will be subjected to self or institutional quarantine.",required,Border closures for entering by air
