"","V1"
"172","Ohio"
"173","Okaloosa County, FL"
"174","Oklahoma"
"175","Omaha, NE (From Diamond Princess)"
"176","Ontario"
"177","Orange County, CA"
"178","Orange, CA"
"179","Oregon"
"180","Pennsylvania"
"181","Pierce County, WA"
"182","Pinal County, AZ"
"183","Placer County, CA"
"184","Plymouth County, MA"
"185","Polk County, GA"
"186","Portland, OR"
"187","Prince Edward Island"
"188","Providence County, RI"
"189","Providence, RI"
"190","Puerto Rico"
"191","Qinghai"
"192","Quebec"
"193","Queens County, NY"
"194","Queensland"
"195","Ramsey County, MN"
"196","Reunion"
"197","Rhode Island"
"198","Riverside County, CA"
"199","Rockingham County, NH"
"200","Rockland County, NY"
"201","Sacramento County, CA"
"202","Saint Barthelemy"
"203","San Antonio, TX"
"204","San Benito, CA"
"205","San Diego County, CA"
"206","San Francisco County, CA"
"207","San Mateo, CA"
"208","Santa Clara County, CA"
"209","Santa Clara, CA"
"210","Santa Cruz County, CA"
"211","Santa Rosa County, FL"
"212","Sarasota, FL"
"213","Saratoga County, NY"
"214","Saskatchewan"
"215","Seattle, WA"
"216","Shaanxi"
"217","Shandong"
"218","Shanghai"
"219","Shanxi"
"220","Shasta County, CA"
"221","Shelby County, TN"
"222","Sichuan"
"223","Snohomish County, WA"
"224","Sonoma County, CA"
"225","South Australia"
"226","South Carolina"
"227","South Dakota"
"228","Spartanburg County, SC"
"229","Spokane County, WA"
"230","St Martin"
"231","St. Louis County, MO"
"232","Suffolk County, MA"
"233","Suffolk County, NY"
"234","Summit County, CO"
"235","Taiwan"
"236","Tasmania"
"237","Tempe, AZ"
"238","Tennessee"
"239","Texas"
"240","Tianjin"
"241","Tibet"
"242","Toronto, ON"
"243","Travis, CA"
"244","Travis, CA (From Diamond Princess)"
"245","Tulsa County, OK"
"246","UK"
"247","Ulster County, NY"
"248","Umatilla, OR"
"249","Unassigned Location (From Diamond Princess)"
"250","Unassigned Location, VT"
"251","Unassigned Location, WA"
"252","United Kingdom"
"253","United States Virgin Islands"
"254","Unknown Location, MA"
"255","US"
"256","Utah"
"257","Vermont"
"258","Victoria"
"259","Virgin Islands"
"260","Virgin Islands, U.S."
"261","Virginia"
"262","Volusia County, FL"
"263","Wake County, NC"
"264","Washington"
"265","Washington County, OR"
"266","Washington, D.C."
"267","Washoe County, NV"
"268","Wayne County, PA"
"269","West Virginia"
"270","Westchester County, NY"
"271","Western Australia"
"272","Williamson County, TN"
"273","Wisconsin"
"274","Wyoming"
"275","Xinjiang"
"276","Yolo County, CA"
"277","Yunnan"
"278","Zhejiang"
